,tags,current amount,total_amount,currency used,current amount in dollars,total amount in dollars,percentage of completion,created,launch_date,country,donation_count,is_charity
250,"Medical, Illness & Healing",1015,2000,USD,1015.0,2000.0,50.74999999999999,"Created May 25, 2020",2020-05-25,US,17,false
251,"Medical, Illness & Healing",135,2000,USD,135.0,2000.0,6.75,"Created December 28, 2020",2020-12-28,US,7,false
252,"Medical, Illness & Healing",562,10000,USD,562.0,10000.0,5.62,"Created April 5, 2021",2021-04-05,US,11,false
253,"Medical, Illness & Healing",45,10000,EUR,53.523,11894.0,0.45000000000000007,"Created April 12, 2021",2021-04-12,US,4,false
254,Education & Learning,130,6000,EUR,154.622,7136.4,2.166666666666667,"Created September 23, 2020",2020-09-23,US,3,false
255,"Medical, Illness & Healing",25,2500,USD,25.0,2500.0,1.0,"Created August 23, 2020",2020-08-23,US,3,false
256,"Medical, Illness & Healing",1100,10000,USD,1100.0,10000.0,11.0,"Created January 31, 2021",2021-01-31,US,2,false
257,"Medical, Illness & Healing",250,10000,USD,250.0,10000.0,2.5,"Created December 1, 2020",2020-12-01,US,2,false
258,"Medical, Illness & Healing",40,2000,USD,40.0,2000.0,2.0,"Created March 3, 2021",2021-03-03,US,2,false
259,"Medical, Illness & Healing",20,40000,EUR,23.788,47576.0,0.05,"Created February 8, 2021",2021-02-08,US,2,false
260,"Medical, Illness & Healing",5000,5000,USD,5000.0,5000.0,100.0,"Created December 19, 2020",2020-12-19,US,0,false
261,"Medical, Illness & Healing",2500,2500,USD,2500.0,2500.0,100.0,Just now,2021-04-21,US,0,false
