Day,"Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (IHME, lower)","Daily new estimated infections of COVID-19 (IHME, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
2020-10-11,2560.87707341525,1717.60986814032,3647.5757711809,671.85714
2020-10-12,2518.86591211269,1688.87505085636,3589.39053672003,662.71429
2020-10-13,2479.23991156605,1643.19598231225,3508.22173473531,656.42857
2020-10-14,2441.9527708698,1634.30128466594,3462.04057236551,657.28571
2020-10-15,2406.96575408462,1594.06768384154,3390.03374902959,635.71429
2020-10-16,2374.2322788616,1552.2239907374,3321.41452740043,580.28571
2020-10-17,2343.70151862237,1532.40221256466,3265.67121787149,548.0
2020-10-18,2315.3219043851,1505.59049316773,3210.61873567977,499.85714
2020-10-19,2289.03929971072,1475.62794317106,3149.03561588724,411.42857
2020-10-20,2264.80046734224,1462.75293941342,3152.00134714635,464.71429
2020-10-21,2242.52450175541,1469.38063094243,3119.53242822858,432.85714
2020-10-22,2222.10959461265,1468.11162478003,3104.17829581268,421.0
2020-10-23,2203.44797194602,1465.97430641229,3109.18918487804,422.85714
2020-10-24,2186.43079818605,1453.49432309615,3098.05661897704,407.57143
2020-10-25,2170.95712192948,1461.26589923254,3047.17208495604,418.42857
2020-10-26,2156.95398239257,1446.73289173663,2976.70746045636,487.28571
2020-10-27,2144.36650001751,1435.72046080112,2979.62170278653,393.71429
2020-10-28,2133.14056833642,1434.31594689225,2949.44921493804,405.85714
2020-10-29,2123.23204371555,1426.96763031552,2944.07761263398,409.14286
2020-10-30,2114.60191649862,1418.41451828729,2921.46066050612,410.14286
2020-10-31,2107.21357605933,1412.9786194612,2920.27982492325,410.14286
2020-11-01,2101.01720393917,1415.4620958385,2919.58507100107,394.28571
2020-11-02,2095.94584841108,1412.49175528408,2940.70873361641,379.71429
2020-11-03,2091.91807829094,1414.62827790051,2953.79471045098,385.71429
2020-11-04,2088.84358019575,1404.73269409014,2931.31160345783,372.0
2020-11-05,2086.65771464927,1399.7645783098,2924.91258476938,377.28571
2020-11-06,2085.29650586606,1410.20923013256,2921.40303532899,388.0
2020-11-07,2084.68363116867,1410.67977968241,2894.54412827328,383.57143
2020-11-08,2084.73911459456,1416.55598176699,2868.79498697554,365.42857
2020-11-09,2085.38474083494,1417.73411577813,2880.98684260623,349.14286
2020-11-10,2086.54524093603,1413.1522111913,2894.05989247777,335.0
2020-11-11,2088.15091693985,1411.8904918884,2879.07146785943,324.28571
2020-11-12,2090.15411538222,1418.74236839251,2915.94523249562,317.0
2020-11-13,2092.52381004523,1421.9015910969,2866.24088954958,305.14286
2020-11-14,2095.22614461069,1421.67562599075,2889.72990045538,319.28571
2020-11-15,2098.22944457187,1416.29711366149,2921.36799195026,352.71429
2020-11-16,2101.50608083055,1428.74362004293,2942.28750708298,370.0
2020-11-17,2105.05303031883,1437.06078887172,2935.85316633477,372.14286
2020-11-18,2108.87405677825,1438.44490265954,2914.17164384435,371.42857
2020-11-19,2112.96268995037,1440.77458493715,2957.57860054352,360.71429
2020-11-20,2117.30292207511,1444.82828265223,2920.84416327042,368.0
2020-11-21,2121.87603449368,1441.36244999602,2948.13206412284,357.42857
2020-11-22,2126.66325816289,1446.15421639381,2959.49703422874,354.71429
2020-11-23,2131.64324848339,1451.63852234857,2988.44832026029,343.42857
2020-11-24,2136.79890708897,1462.28765241974,3022.11910487571,349.71429
2020-11-25,2142.10956484398,1467.18590901477,3034.55580989822,352.42857
2020-11-26,2147.55776225538,1470.02492148428,3000.28830315165,364.28571
2020-11-27,2153.15461239105,1472.25561218518,3001.15036662829,358.14286
2020-11-28,2158.93152511135,1497.60996179664,3006.95278833443,332.14286
2020-11-29,2164.92661272575,1503.9735748167,2979.75550604395,315.0
